Abbreviation,Ambiguous,Case Sensitive,Full Text,Reverse Ambiguous
A,TRUE,FALSE,adenine|adenosine|alanine|ampere|artery|blood type|vitamin A,FALSE
A1,FALSE,FALSE,annular pulley,TRUE
A2,FALSE,FALSE,annular pulley,TRUE
A3,FALSE,FALSE,annular pulley,TRUE
A4,FALSE,FALSE,annular pulley,TRUE
A5,FALSE,FALSE,annular pulley,TRUE
AA,TRUE,FALSE,alleged assault|alcoholics anonymous|amino acid|amyloid A|anaplastic astrocytoma|aplastic anemia|arachidonic acid,FALSE
AAA,FALSE,FALSE,abdominal aortic aneurysm,FALSE
AAC,TRUE,FALSE,adenocystic carcinoma|Advisory Appointment Committee,FALSE
AACG,FALSE,FALSE,acute angle-closure glaucoma,FALSE
AAL,FALSE,FALSE,anterior axillary line,FALSE
AARF,FALSE,FALSE,atlantoaxial rotatory fixation,FALSE
AAS,TRUE,FALSE,acute aortic syndrome|atlantoaxial subluxation,FALSE
AAST,FALSE,FALSE,American association for the surgery of trauma,FALSE
AAU,FALSE,FALSE,acute anterior uveitis,FALSE
AB,TRUE,FALSE,abortion|antibiotics|antibody|blood type,FALSE
ABC,TRUE,FALSE,airways breathing circulation|aneurysmal bone cyst|antigen-binding capacity|atomic biological chemical,FALSE
ABER,FALSE,FALSE,abduction and external rotation position,FALSE
ABG,FALSE,FALSE,arterial blood gas,FALSE
ABI,TRUE,FALSE,acquired brain injury|ankle-brachial index,FALSE
ABO,FALSE,FALSE,a blood type system,FALSE
ABPA,FALSE,FALSE,allergic bronchopulmonary aspergillosis,FALSE
ABPI,FALSE,FALSE,ankle-brachial pressure index,FALSE
ABR,TRUE,FALSE,American Board of Radiology|auditory brainstem response,FALSE
abs,TRUE,FALSE,absent|absolute|muscles of the abdomen|rectus abdominis muscle,FALSE
ABx,FALSE,FALSE,antibiotics,FALSE
AC,TRUE,TRUE,abdominal circumference|acromioclavicular|amniocentesis|anterior commissure|anticoagulant|arachnoid cyst|ascending colon|axillary clearance|before meals,FALSE
Ac,FALSE,TRUE,actinium,FALSE
ACA,TRUE,FALSE,anterior cerebral artery|anti-cardiolipin antibody,FALSE
ACDA,FALSE,FALSE,anterior cervical disc arthroplasty,FALSE
ACDF,FALSE,FALSE,anterior cervical discectomy and fusion,FALSE
ACE,TRUE,FALSE,acetylcholine esterase|angiotensin-converting enzyme,FALSE
ACE-i,FALSE,FALSE,angiotensin-converting enzyme inhibitor,FALSE
ACGME,FALSE,FALSE,Accreditation Council for Graduate Medical Education,FALSE
ACh,FALSE,FALSE,acetylcholine,FALSE
AChE,FALSE,FALSE,acetylcholinesterase,FALSE
ACJ,FALSE,FALSE,acromioclavicular joint,FALSE
ACL,FALSE,FALSE,anterior cruciate ligament,FALSE
ACLS,FALSE,FALSE,advanced cardiac life support,FALSE
ACOM,FALSE,FALSE,anterior communicating artery,FALSE
AC-PC line,FALSE,FALSE,anterior commissure posterior commissure line,FALSE
ACP,FALSE,FALSE,Amplatzer cardiac plug,FALSE
ACR,FALSE,FALSE,American College of Radiology,FALSE
ACS,TRUE,FALSE,abdominal compartment syndrome|acute coronary syndrome|altered conscious state,FALSE
ACTH,FALSE,FALSE,adrenocorticotropic hormone,FALSE
AD,TRUE,FALSE,addict|alcohol dehydrogenase|Alzheimer disease|antidepressant|atopic dermatitis|autosomal dominant|axillary dissection,FALSE
ADC,TRUE,FALSE,apparent diffusion coefficient|analog-to-digital converter,FALSE
ADD-RS,FALSE,FALSE,aortic dissection detection risk score,FALSE
ADEM,FALSE,FALSE,acute disseminating encephalomyelitis,FALSE
ADH,FALSE,FALSE,antidiuretic hormone,FALSE
ADHD,FALSE,FALSE,attention deficit hyperactivity disorder,FALSE
ADHF,FALSE,FALSE,acute decompensated heart failure,FALSE
ADI,FALSE,FALSE,atlantodental interval,FALSE
ADL,FALSE,FALSE,activities of daily living,TRUE
ADLs,FALSE,FALSE,activities of daily living,TRUE
ADP,FALSE,FALSE,adenosine diphosphate,FALSE
ADR,FALSE,FALSE,adverse drug reaction,FALSE
A&E,FALSE,FALSE,accident and emergency,FALSE
A/E,FALSE,FALSE,accident and emergency,FALSE
AE,FALSE,FALSE,air entry,FALSE
AF,TRUE,FALSE,amniotic fluid|atrial fibrillation,TRUE
A-fib,TRUE,FALSE,amniotic fluid|atrial fibrillation,TRUE
afib,TRUE,FALSE,amniotic fluid|atrial fibrillation,TRUE
AFB,FALSE,FALSE,acid-fast bacillus,FALSE
AFE,FALSE,FALSE,amniotic fluid embolism,FALSE
AFF,FALSE,FALSE,atypical femoral fracture,FALSE
AFI,FALSE,FALSE,amniotic fluid index,FALSE
AFP,FALSE,FALSE,alpha fetoprotein,FALSE
AFS,FALSE,FALSE,allergic fungal sinusitis,FALSE
AG,TRUE,TRUE,anion gap|antiglobulin,FALSE
Ag,TRUE,TRUE,silver|antigen,FALSE
A/G,FALSE,FALSE,albumin-globulin ratio,FALSE
AI,TRUE,FALSE,artificial insemination|assisted insemination|artificial intelligence|autoimmune,FALSE
AICA,FALSE,FALSE,anterior inferior cerebellar artery,FALSE
AICD,FALSE,FALSE,automated implantable cardiac defibrillator,FALSE
AIDS,FALSE,FALSE,acquired immunodeficiency syndrome,FALSE
AIIS,FALSE,FALSE,anterior inferior iliac spine,FALSE
AIN,FALSE,FALSE,acute interstitial nephritis,FALSE
AIP,FALSE,FALSE,acute interstitial pneumonitis,FALSE
AJL,FALSE,FALSE,anterior junctional line,FALSE
AJNR,FALSE,FALSE,American Journal of Neuroradiology,FALSE
