,names,narr_names,general,vascular,neoplasm,immune/infection/inflammatory,congenital,trauma,surgical,pregnant,variants
0,01_01.txt,Breast Cancer Screening,,,x,,,,,,"	Breast  cancer  screening.  Female.  Average-risk,  with  less  than  15%  lifetime  risk  of  breast  cancer. 
	Breast cancer screening. Female. Intermediate-risk, with personal history of breast cancer,  lobular neoplasia, atypical ductal hyperplasia, or 15% to 20% lifetime risk of breast cancer. 
	Breast cancer screening. Female. High-risk, with a BRCA gene mutation and their untested  first-degree relatives, women with a history of chest irradiation between 10 to 30 years of  age, women with 20% or greater lifetime risk of breast cancer. 
"
1,01_02.txt,Breast Imaging of Pregnant and Lactating Women,,,x,,,,,,"	Breast cancer screening during lactation. Initial imaging. 
	Breast  cancer  screening  during  pregnancy.  Age  younger  than  30  at  high  risk.  Initial  imaging. 
	Breast cancer screening during pregnancy. Age 30 to 39 years at elevated risk (intermediate  or high risk). Initial imaging. 
	Breast  cancer  screening  during  pregnancy.  Age  40  years  or  older,  any  risk  level.  Initial  imaging. 
	Pregnant women with a palpable breast mass. Initial imaging. 
	Clinically suspicious nipple discharge during pregnancy. Initial imaging. 
	Locoregional staging of newly diagnosed breast cancer during pregnancy. Initial imaging. 
"
2,01_03.txt,Breast Implant Evaluation ,,,,,,,x,,"	Evaluation of saline breast implants. Asymptomatic patient. Any age. Initial imaging. 
	Evaluation  of  saline  breast  implants.  Clinical  examination  equivocal  for  implant  rupture.  Age younger than 30 years. Initial imaging. 
	Evaluation  of  saline  breast  implants.  Clinical  examination  equivocal  for  implant  rupture.  Age 30â€“39 years. Initial imaging. 
	Evaluation  of  saline  breast  implants.  Clinical  examination  equivocal  for  implant  rupture.  Age 40 years or older. Initial imaging. 
	Evaluation of silicone breast implants. Asymptomatic patient. Any age. Initial imaging. 
	Evaluation of silicone breast implants. Suspected implant complication. Age younger than 30  years. Initial imaging. 
	Evaluation  of  silicone  breast  implants.  Suspected  implant  complication.  Age  30â€“39  years.  Initial imaging. 
	Evaluation  of  silicone  breast  implants.  Suspected  implant  complication.  Age  40  years  or  older. Initial imaging. 
	Evaluation of unexplained axillary adenopathy. Silicone breast implants (current or prior).  Age younger than 30 years. Initial imaging. 
	Evaluation of unexplained axillary adenopathy. Silicone breast implants (current or prior).  Age 30â€“39 years. Initial imaging. 
	Evaluation of unexplained axillary adenopathy. Silicone breast implants (current or prior).  Age 40 years or older. Initial imaging. 
	Suspected breast implant associated anaplastic large-cell lymphoma (BIA-ALCL) (delayed seroma,  swelling,  mass,  pain  but  no  erythema,  warmth  or  skin  changes  that  would  raise concern for inflammatory breast cancer or mastitis). Any age. Breast implant of any type. Initial imaging. 
"
3,01_04.txt,Breast Pain,x,,,,,,,,"	Female  with  clinically  insignificant  breast  pain  (nonfocal  [greater  than  one  quadrant],  diffuse, or cyclical) without other suspicious clinical finding. Any age. Initial imaging. 
	Female with clinically significant breast pain (focal and noncyclical). Age less than 30. Initial  imaging. 
