,head,spine,chest,abdomen/pelvis,extremity,other
01_01.pdf,0,0,15,0,0,6
01_02.pdf,0,0,37,0,0,8
01_03.pdf,0,0,57,0,0,3
01_04.pdf,0,0,20,0,0,4
01_05.pdf,0,0,35,0,0,15
01_06.pdf,0,0,23,0,0,0
01_07.pdf,0,0,27,5,0,10
01_08.pdf,0,0,77,0,0,22
01_09.pdf,10,0,15,12,0,9
02_01.pdf,1,1,6,4,1,1
02_02.pdf,0,3,12,1,0,4
02_03.pdf,0,6,36,0,0,3
02_04.pdf,0,1,21,0,0,1
02_05.pdf,0,4,36,0,0,6
02_06.pdf,0,2,17,1,0,2
02_07.pdf,0,2,14,0,0,3
02_08.pdf,0,10,69,0,0,10
02_09.pdf,0,1,7,7,0,1
02_10.pdf,0,1,7,0,0,1
02_11.pdf,0,4,50,0,0,8
02_12.pdf,1,1,12,0,1,1
02_13.pdf,0,6,36,0,0,6
02_14.pdf,0,3,33,0,3,3
03_01.pdf,4,0,0,36,4,12
03_02.pdf,0,0,0,48,0,0
03_03.pdf,2,0,0,30,2,0
03_04.pdf,0,0,0,0,0,20
03_05.pdf,3,0,0,33,3,9
03_06.pdf,18,0,18,0,0,30
03_07.pdf,0,0,0,18,0,0
03_08.pdf,0,0,0,21,0,3
03_09.pdf,0,0,0,17,0,3
03_10.pdf,0,0,0,132,0,36
03_11.pdf,0,0,0,24,0,8
03_12.pdf,2,0,0,14,2,6
03_13.pdf,0,0,0,30,0,0
03_14.pdf,0,0,3,11,0,2
03_15.pdf,0,0,0,27,0,3
03_16.pdf,0,0,0,21,0,5
03_17.pdf,2,0,0,14,2,0
03_18.pdf,0,0,0,17,0,1
04_01.pdf,0,0,0,59,0,8
04_02.pdf,0,0,0,40,0,2
04_03.pdf,0,0,0,8,0,8
04_04.pdf,0,1,0,2,0,0
04_05.pdf,8,0,0,67,8,0
04_06.pdf,0,0,0,24,0,9
04_07.pdf,0,0,0,8,0,0
04_08.pdf,24,0,16,32,4,0
04_09.pdf,3,0,0,9,0,6
04_10.pdf,0,0,0,24,0,18
04_11.pdf,0,0,0,28,0,8
04_12.pdf,0,0,0,56,0,18
04_13.pdf,0,0,0,24,0,0
04_14.pdf,2,0,8,44,2,2
04_15.pdf,0,0,6,24,0,12
04_16.pdf,0,0,0,20,0,0
04_17.pdf,2,0,6,20,2,4
04_18.pdf,0,0,0,15,0,0
05_01.pdf,6,0,15,32,5,29
06_01.pdf,0,0,0,0,32,23
06_02.pdf,0,0,0,17,0,0
06_03.pdf,0,0,0,0,45,0
06_04.pdf,0,0,0,0,43,0
06_05.pdf,0,0,0,0,60,0
06_06.pdf,0,0,0,0,80,0
